               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  35,            0.018088,            0.010812,           0.0035161,             0.97136,              0.2204,             0.25612,             0.13313,            0.014405,           0.0088316,           0.0032574,           0.0010395,           0.0010395,           0.0010395
                  36,            0.018381,            0.011486,           0.0036875,             0.97068,             0.22207,             0.25833,             0.13576,            0.014176,           0.0087973,           0.0032343,          0.00096623,          0.00096623,          0.00096623
                  37,            0.018268,            0.010724,           0.0036313,             0.97039,             0.22207,             0.25818,             0.13395,             0.01422,           0.0088053,           0.0032334,          0.00089626,          0.00089626,          0.00089626
                  38,            0.017147,            0.011044,           0.0034309,             0.97126,             0.22281,             0.26125,             0.13667,            0.014127,           0.0087927,           0.0032109,          0.00082981,          0.00082981,          0.00082981
                  39,            0.018596,            0.010776,           0.0035489,             0.96897,             0.22248,             0.26061,             0.13853,            0.014093,           0.0087716,            0.003205,          0.00076717,          0.00076717,          0.00076717
                  40,            0.017737,            0.010811,            0.003507,             0.97262,             0.22115,             0.26212,             0.13956,            0.013989,           0.0087727,           0.0031929,          0.00070856,          0.00070856,          0.00070856
                  41,            0.018072,            0.011004,            0.003833,             0.96988,             0.22513,              0.2652,             0.14091,            0.013958,           0.0087733,           0.0031864,          0.00065424,          0.00065424,          0.00065424
                  42,            0.017362,            0.010621,           0.0034109,             0.97153,             0.22281,              0.2646,             0.14077,               0.014,           0.0087588,           0.0031779,           0.0006044,           0.0006044,           0.0006044
                  43,            0.017349,            0.011042,           0.0035313,             0.97053,             0.22149,             0.26268,             0.13975,            0.014132,           0.0087514,           0.0031611,          0.00055925,          0.00055925,          0.00055925
                  44,            0.017877,            0.010855,           0.0036136,             0.97013,             0.22479,             0.26904,             0.14495,            0.013857,           0.0087389,           0.0031381,          0.00051897,          0.00051897,          0.00051897
                  45,            0.017161,            0.011017,           0.0034125,             0.97057,             0.22414,             0.27238,             0.14529,            0.014099,           0.0087482,           0.0031348,          0.00048371,          0.00048371,          0.00048371
                  46,             0.01835,            0.010866,           0.0035995,             0.97163,             0.22314,              0.2733,             0.14656,            0.013898,           0.0087367,           0.0031388,          0.00045362,          0.00045362,          0.00045362
                  47,            0.017896,             0.01113,           0.0034859,             0.96751,             0.22645,             0.27901,             0.14957,            0.013876,           0.0087241,           0.0031298,           0.0004288,           0.0004288,           0.0004288
                  48,            0.017082,            0.010747,           0.0034295,              0.9702,              0.2258,             0.27833,             0.14979,             0.01391,           0.0087101,           0.0031211,          0.00040937,          0.00040937,          0.00040937
                  49,            0.017643,            0.010718,           0.0038037,             0.96888,             0.22447,             0.27515,             0.14856,            0.013899,           0.0087405,           0.0031132,          0.00039539,          0.00039539,          0.00039539
                  50,            0.017325,            0.010959,           0.0034452,             0.97211,              0.2195,             0.26859,              0.1395,            0.014484,           0.0087573,           0.0030358,          0.00038692,          0.00038692,          0.00038692
                  51,            0.017022,            0.010508,           0.0032366,             0.96871,             0.22245,             0.27853,             0.14804,            0.014265,           0.0087419,           0.0030636,            0.000384,            0.000384,            0.000384
